time,lat,lon,altitude,ground_speed,heading,details,alt_geom,nnumber,model,desc,timestamp,ping_time,icao
5447.33,42.360919,-71.016839,ground,6.8,289.7,,,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 01:30:47.330,a11f59
64469.15,42.628815,-108.572132,37025,572.0,74.1,,37100.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:54:29.150,a11f59
64488.78,42.643246,-108.504106,37025,574.4,73.9,,37075.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:54:48.780,a11f59
64508.35,42.657119,-108.438763,37025,575.4,74.0,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 37025, 'track': 73.96, 'baro_rate': -64, 'squawk': '3276', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",37025.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:55:08.350,a11f59
64527.73,42.671597,-108.37029,36975,579.5,74.0,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:55:27.730,a11f59
64547.48,42.686074,-108.30169,36975,580.2,74.1,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:55:47.480,a11f59
64567.04,42.700287,-108.233934,37000,579.0,74.2,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:56:07.040,a11f59
64586.26,42.714478,-108.165894,37000,577.7,74.2,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 36975, 'track': 74.23, 'baro_rate': 64, 'squawk': '3276', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:56:26.260,a11f59
64605.79,42.728996,-108.096143,37000,578.7,74.3,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:56:45.790,a11f59
64624.98,42.742403,-108.031694,37000,576.5,74.3,,37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:57:04.980,a11f59
64644.27,42.756601,-107.962902,37025,574.3,74.3,,37025.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:57:24.270,a11f59
64663.09,42.770004,-107.89779,37000,574.0,74.4,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 37000, 'track': 74.44, 'baro_rate': 0, 'squawk': '3276', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:57:43.090,a11f59
64449.86,42.614502,-108.639741,37025,567.4,73.8,,37050.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:54:09.860,a11f59
64682.2,42.783415,-107.832535,37000,574.0,74.4,,37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:58:02.200,a11f59
64721.58,42.81134,-107.696228,37000,571.8,74.5,,37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:58:41.580,a11f59
64741.49,42.825211,-107.628202,37000,569.7,74.5,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 37000, 'track': 74.52, 'baro_rate': 0, 'squawk': '3552', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:59:01.490,a11f59
64761.11,42.839264,-107.558963,37000,569.4,74.6,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:59:21.110,a11f59
64781.07,42.853043,-107.490937,37000,569.4,74.6,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:59:41.070,a11f59
64800.37,42.866464,-107.424382,37000,569.1,74.7,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:00:00.370,a11f59
64819.99,42.88029,-107.355586,37000,566.9,74.8,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 36975, 'track': 74.76, 'baro_rate': 64, 'squawk': '3552', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:00:19.990,a11f59
64839.71,42.893921,-107.287562,37000,564.7,74.8,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:00:39.710,a11f59
64859.38,42.907196,-107.221133,37025,563.8,74.8,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:00:59.380,a11f59
64878.84,42.920746,-107.153044,37000,563.5,74.9,,37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:01:18.840,a11f59
64898.8,42.933746,-107.087317,37000,563.5,74.9,"{'type': 'adsb_icao', 'flight': 'UAL2647 ', 'alt_geom': 36975, 'track': 74.88, 'baro_rate': 0, 'squawk': '3552', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 36992, 'nav_heading': 61.88, 'nic': 8, 'rc': 186, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'alert': 0, 'spi': 0}",36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:01:38.800,a11f59
64918.47,42.947479,-107.01795,37000,562.3,74.9,,36975.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 18:01:58.470,a11f59
64702.01,42.797745,-107.76277,37000,574.0,74.4,,37000.0,N17104,B752,BOEING 757-200,2025-02-07,2025-02-07 17:58:22.010,a11f59
