time,lat,lon,altitude,ground_speed,heading,details,alt_geom,nnumber,model,desc,timestamp,ping_time,icao
7773.67,43.685272,-79.626045,ground,4.2,236.2,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 02:09:33.670,c060ba
70534.57,43.687471,-79.630999,ground,18.5,315.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:35:34.570,c060ba
70539.78,43.687739,-79.631359,ground,13.8,315.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:35:39.780,c060ba
70543.07,43.687902,-79.631571,ground,11.8,315.0,"{'type': 'adsb_icao', 'flight': 'POE551  ', 'track': 315.0, 'true_heading': 315.0, 'squawk': '6322', 'emergency': 'none', 'category': 'A3', 'nic': 8, 'rc': 186, 'version': 2, 'nac_p': 10, 'nac_v': 4, 'sil': 3, 'sil_type': 'perhour', 'sda': 2, 'alert': 0, 'spi': 0}",,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:35:43.070,c060ba
70548.48,43.688072,-79.631797,ground,9.2,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:35:48.480,c060ba
70559.51,43.688356,-79.632176,ground,7.2,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:35:59.510,c060ba
70571.4,43.688647,-79.632552,ground,7.2,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:36:11.400,c060ba
70580.01,43.688879,-79.632846,ground,7.8,317.8,"{'type': 'adsb_icao', 'flight': 'POE551  ', 'track': 317.81, 'true_heading': 317.81, 'squawk': '6322', 'emergency': 'none', 'category': 'A3', 'nic': 8, 'rc': 186, 'version': 2, 'nac_p': 10, 'nac_v': 4, 'sil': 3, 'sil_type': 'perhour', 'sda': 2, 'alert': 0, 'spi': 0}",,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:36:20.010,c060ba
70585.99,43.689011,-79.633026,ground,6.8,315.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:36:25.990,c060ba
70602.48,43.689287,-79.633386,ground,3.2,315.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:36:42.480,c060ba
70628.04,43.689743,-79.633984,ground,7.2,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:08.040,c060ba
70638.01,43.689985,-79.634285,ground,6.2,317.8,"{'type': 'adsb_icao', 'flight': 'POE551  ', 'track': 317.81, 'true_heading': 317.81, 'squawk': '6322', 'category': 'A3', 'nic': 8, 'rc': 186, 'version': 2, 'nac_p': 10, 'nac_v': 4, 'sil': 3, 'sil_type': 'perhour', 'sda': 2, 'alert': 0, 'spi': 0}",,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:18.010,c060ba
70650.56,43.690183,-79.634547,ground,4.8,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:30.560,c060ba
70660.54,43.690369,-79.634775,ground,6.2,317.8,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:40.540,c060ba
70667.61,43.690533,-79.635006,ground,7.2,315.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:47.610,c060ba
70672.39,43.69066,-79.635168,ground,7.8,317.8,"{'type': 'adsb_icao', 'flight': 'POE551  ', 'track': 317.81, 'true_heading': 317.81, 'squawk': '6322', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1021.0, 'nav_altitude_mcp': 5008, 'nav_modes': [], 'nic': 8, 'rc': 186, 'version': 2, 'nac_p': 10, 'nac_v': 4, 'sil': 3, 'sil_type': 'perhour', 'sda': 2, 'alert': 0, 'spi': 0}",,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:52.390,c060ba
70674.98,43.690727,-79.63523,ground,7.8,323.4,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:54.980,c060ba
70679.21,43.690842,-79.63531,ground,7.8,334.7,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:37:59.210,c060ba
70682.84,43.691025,-79.63531,ground,8.2,0.0,,,C-GKQJ,E295,EMBRAER ERJ-190-400,2025-02-07,2025-02-07 19:38:02.840,c060ba
